ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
62,0.003,0.000,0.008,0.000,/usr/lib/python3.10/site-packages/sage/sets/image_set.py:43(__init__)
840,0.000,0.000,0.008,0.000,<__array_function__ internals>:177(zeros_like)
192,0.005,0.000,0.007,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1781(<listcomp>)
532,0.004,0.000,0.007,0.000,/usr/lib/python3.10/json/encoder.py:204(iterencode)
6103/6102,0.005,0.000,0.007,0.000,<frozen importlib._bootstrap>:1053(_handle_fromlist)
6,0.000,0.000,0.007,0.001,/usr/lib/python3.10/site-packages/ipykernel/zmqshell.py:63(_flush_streams)
12,0.000,0.000,0.007,0.001,/usr/lib/python3.10/site-packages/ipykernel/iostream.py:463(flush)
13489,0.006,0.000,0.007,0.000,stringsource:999(memoryview_fromslice)
6,0.000,0.000,0.007,0.001,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:379(to_elt)
4521,0.002,0.000,0.007,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:1203(coroot_lattice)
7153,0.004,0.000,0.007,0.000,/usr/lib/python3.10/site-packages/sage/graphs/generic_graph.py:10376(has_vertex)
5,0.000,0.000,0.007,0.001,{built-in method builtins.__import__}
158,0.007,0.000,0.007,0.000,/usr/lib/python3.10/site-packages/zmq/sugar/socket.py:543(send)
222,0.007,0.000,0.007,0.000,{method 'acquire' of '_thread.lock' objects}
13,0.000,0.000,0.007,0.001,/usr/lib/python3.10/threading.py:589(wait)
13,0.000,0.000,0.006,0.000,/usr/lib/python3.10/threading.py:288(wait)
1107,0.004,0.000,0.006,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1715(_get_trait_default_generator)
6212,0.004,0.000,0.006,0.000,<frozen importlib._bootstrap>:404(parent)
840,0.001,0.000,0.006,0.000,/usr/lib/python3.10/site-packages/numpy/core/numeric.py:76(zeros_like)
1674,0.006,0.000,0.006,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:917(<dictcomp>)
17977,0.006,0.000,0.006,0.000,{built-in method builtins.hasattr}
1982,0.004,0.000,0.006,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:1095(_from_dict)
44878,0.005,0.000,0.005,0.000,{method 'items' of 'dict' objects}
8000,0.003,0.000,0.005,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:207(_arrays_for_stack_dispatcher)
1,0.000,0.000,0.005,0.005,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/__init__.py:1(<module>)
