ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
109955,0.078,0.000,0.447,0.000,<__array_function__ internals>:177(empty_like)
9001,0.142,0.000,0.446,0.000,/usr/lib/python3.10/site-packages/sage/sets/finite_enumerated_set.py:145(__contains__)
3220221,0.435,0.000,0.436,0.000,{built-in method builtins.isinstance}
2003846,0.434,0.000,0.435,0.000,{built-in method builtins.hasattr}
9001,0.011,0.000,0.427,0.000,/usr/lib/python3.10/site-packages/sage/sets/finite_enumerated_set.py:300(__call__)
9001,0.005,0.000,0.413,0.000,/usr/lib/python3.10/site-packages/sage/sets/finite_enumerated_set.py:380(_element_constructor_)
23814,0.052,0.000,0.411,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:234(scalar)
9001,0.004,0.000,0.408,0.000,/usr/lib/python3.10/site-packages/sage/sets/finite_enumerated_set.py:264(rank)
9057,0.123,0.000,0.404,0.000,{method 'index' of 'tuple' objects}
3173814,0.398,0.000,0.398,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:848(_sort_dispatcher)
825,0.061,0.000,0.395,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:2217(_an_element_)
412846,0.365,0.000,0.365,0.000,{method 'reshape' of 'numpy.ndarray' objects}
4580,0.003,0.000,0.363,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3655(descents)
4580,0.007,0.000,0.360,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3668(<listcomp>)
92,0.063,0.001,0.360,0.004,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:91(_get_available_problems)
3344,0.008,0.000,0.341,0.000,/usr/lib/python3.10/site-packages/sage/sets/image_set.py:192(__iter__)
150279,0.321,0.000,0.337,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:2567(zero_vector)
183580,0.104,0.000,0.334,0.000,{built-in method builtins.repr}
10375,0.145,0.000,0.330,0.000,/usr/lib/python3.10/site-packages/sage/categories/homset.py:83(Hom)
69614,0.033,0.000,0.297,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:271(<genexpr>)
1895963,0.296,0.000,0.296,0.000,/usr/lib/python3.10/site-packages/numpy/core/multiarray.py:148(concatenate)
33728,0.084,0.000,0.286,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:899(from_vector)
90,0.000,0.000,0.281,0.003,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:123(<listcomp>)
180,0.121,0.001,0.280,0.002,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:124(<dictcomp>)
68326,0.263,0.000,0.273,0.000,{method '_vector_' of 'sage.modules.with_basis.indexed_element.IndexedFreeModuleElement' objects}
30,0.002,0.000,0.273,0.009,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:126(compute_phi)
307,0.004,0.000,0.242,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:149(display)
302,0.001,0.000,0.241,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/std.py:1339(refresh)
183565,0.154,0.000,0.230,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_system.py:367(_repr_)
1,0.000,0.000,0.225,0.225,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:152(_compute_weyl_dictionary)
90,0.018,0.000,0.220,0.002,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:805(coadjoint_action_tensor)
1241/1197,0.001,0.000,0.216,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:706(__set__)
1280/1236,0.002,0.000,0.215,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:688(set)
1,0.000,0.000,0.214,0.214,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:154(<dictcomp>)
696/663,0.001,0.000,0.205,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1373(_notify_trait)
596,0.003,0.000,0.203,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:676(notify_change)
50404,0.178,0.000,0.200,0.000,{method 'monomial_coefficients' of 'sage.algebras.lie_algebras.lie_algebra_element.StructureCoefficientsElement' objects}
1824660,0.196,0.000,0.196,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
556,0.002,0.000,0.186,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:538(send_state)
2720491,0.183,0.000,0.183,0.000,{method 'parent' of 'sage.structure.element.Element' objects}
152,0.001,0.000,0.181,0.001,/usr/lib/python3.10/site-packages/sage/categories/enumerated_sets.py:464(__len__)
152,0.000,0.000,0.179,0.001,/usr/lib/python3.10/site-packages/sage/combinat/combinat.py:1799(__list_from_iterator)
152,0.000,0.000,0.179,0.001,/usr/lib/python3.10/site-packages/sage/combinat/combinat.py:1812(<listcomp>)
8631,0.037,0.000,0.169,0.000,/usr/lib/python3.10/site-packages/sage/categories/modules.py:114(__classcall_private__)
1021168,0.162,0.000,0.168,0.000,/usr/lib/python3.10/site-packages/sage/sets/family.py:746(__getitem__)
76554,0.124,0.000,0.167,0.000,/usr/lib/python3.10/site-packages/sage/categories/fields.py:62(__contains__)
1,0.000,0.000,0.165,0.165,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:546(display_cohomology_stats)
45800,0.032,0.000,0.164,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/dynkin_diagram.py:778(column)
151,0.002,0.000,0.161,0.001,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:622(<dictcomp>)
153200,0.059,0.000,0.160,0.000,/usr/lib/python3.10/random.py:292(randrange)
3624,0.049,0.000,0.158,0.000,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:912(root_to_latex)
584,0.076,0.000,0.157,0.000,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:215(_multidegree_to_root_sum)
4800,0.002,0.000,0.155,0.000,/usr/lib/python3.10/site-packages/sage/categories/monoids.py:255(_pow_int)
4800,0.007,0.000,0.154,0.000,{built-in method sage.arith.power.generic_power}
589/568,0.002,0.000,0.150,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:557(get_state)
